,Title,Type,Description,Level,Duration,Rating,Review Count,Skills Covered,Prerequisites,Affiliates,URL
16,Self-Driving Car Engineer,nanodegree,Learn the techniques that power self-driving cars across the full stack of a vehicle’s autonomous capabilities.,advanced,5 Months,2.21,715.0,"Computer Vision, Deep Learning, Sensor Fusion, Localization, Self-Driving Cars, Path Planning and Control","Python, C++, Linear Algebra and Calculus","Waymo, Mercedes-Benz",https://www.udacity.com/course/self-driving-car-engineer-nanodegree--nd0013
17,UX Designer,nanodegree,Design impactful user experiences for products in today’s digital world.,beginner,3 Months,4.7,1032.0,"User Research, User Experience, Prototyping, Interactive Design, User Interface Design, Usability Testing",No Experience Required.,none,https://www.udacity.com/course/ux-designer-nanodegree--nd578
18,Java Developer,nanodegree,"Learn back-end development with Java, one of the most popular programming languages in the world.",intermediate,4 Months,4.5,359.0,"Java, Spring Boot, Rest API, MySQL, MongoDB",Intermediate knowledge of Java,none,https://www.udacity.com/course/java-developer-nanodegree--nd035
19,Data Engineering with Microsoft Azure ,nanodegree,Master job-ready Azure skills like designing data models and utilizing other in-demand components of the cloud computing service.,intermediate,4 Months,4.88,715.0,"Database Normalization,  Data Modeling Basics,  PostgreSQL,  SQL and SQL scripting, Denormalized Data Schemas,  Relational data modeling,  OLAP Cubes,  Data Warehouse Architecture,  Data Extraction,  Big Data Fluency,  Apache Spark,  Data Lakes,  Apache Airflow,  Azure Pipelines
","Experience with SQL, Python, Azure, and Github",none,https://www.udacity.com/course/data-engineering-with-microsoft-azure-nanodegree--nd0277
20,AI Programming with Python,nanodegree,"Learn Python, NumPy, pandas, Matplotlib, PyTorch, calculus, and linear algebra—the foundations for building your own neural network.",beginner,3 Months,4.7,1626.0,"Python, NumPy, Pandas, Matplotlib, PyTorch",Basic Algebra and Programming Knowledge,none,https://www.udacity.com/course/ai-programming-python-nanodegree--nd089
21,Data Product Manager,nanodegree,Apply data science best practices to build products that deliver the right experience to the right users—at the right time.,intermediate,3 Months,4.3,220.0,"Data Science, Product Management, Product Design, Data Visualization, User Journey Maps",Prior Data Analysis & Product Management Experience Recommended,none,https://www.udacity.com/course/data-product-manager-nanodegree--nd030
22,Intermediate Python,nanodegree,"Learn how to plan, design, and implement enterprise data infrastructure solutions and create the blueprints for your organization’s data success.",intermediate,2 Months,4.4,144.0,"Python, Object-oriented programming, Modular code, Python Package Index",Basic Python,none,https://www.udacity.com/course/intermediate-python-nanodegree--nd303
23,Growth Product Manager,nanodegree,"Lead experimentation and data-driven decision-making to drive products to the next level of scale, impact, and profitability.",intermediate,3 Months,4.5,50.0,"Acquisition Strategy,  Growth Loops,  Product Management,  Activation Metrics,  Growth Strategy,  Activation Strategy,  Product Monetization Strategy,  Product Monetization Metrics,  Premium Value,  Cohort Analysis,  Experiment Design,  Target Personas,  Customer Acquisition Cost,  User Journey Maps",Prior Product Management Experience recommended,none,https://www.udacity.com/course/growth-product-manager-nanodegree--nd037
24,Front End Web Developer,nanodegree,Learn how to build high quality websites and dynamic applications to create stunning user experiences for the web.,intermediate,4 Months,4.6,1194.0,"JavaScript, HTML, CSS, Webpack, Flexbox, Node, Object-oriented Programming","Knowledge of basic HTML, CSS, and JavaScript",none,https://www.udacity.com/course/front-end-web-developer-nanodegree--nd0011
25,Blockchain Developer,nanodegree,"Demand for blockchain developers is skyrocketing. In this program, you'll work with the Bitcoin and Ethereum protocols, build projects for real-world application, and gain the essential skills for a career in this dynamic space.",intermediate,4 Months,4.5,566.0,"Ethereum Blockchain, Blockchain Architecture, Data Auditing",Object-oriented programming,none,https://www.udacity.com/course/blockchain-developer-nanodegree--nd1309
