,Title,Type,Description,Level,Duration,Rating,Review Count,Skills Covered,Prerequisites,Affiliates,URL
70,Golang,course,"Discover Golang’s implementation of traditional programming features, as well as extra features that make it a powerful tool.",beginner,1 Month,3.46,715.0,"Go programming,  Go language fundamentals,  Go environment,  basic backend,  Goroutines,  web server,  REST API",Basic computer programming,none,https://www.udacity.com/course/golang--cd11970
71,Data Privacy,course,Equip yourself with industry-guided data privacy best practices for physical or virtual office environments.,beginner,1 Month,4.64,715.0,"Privacy Impact Assessments,  Data privacy fundamentals,  Data privacy classification,  Data privacy governance,  Data privacy checklists,  Data privacy best practices,  Data loss prevention,  Technical cybersecurity controls,  Procedural cybersecurity controls,  Cybersecurity controls,  NIST Cybersecurity framework,  Data privacy regulations",Understanding of data privacy regulations and cybersecurity best practices,none,https://www.udacity.com/course/data-privacy--cd1826
72,Cloud Computing for Business Leaders,nanodegree,Focus on the unique knowledge and skills that business leaders need to unlock the value of cloud technologies in their organizations.,intermediate,2 Months,4.83,715.0,"Digital transformation,  leadership,  management,  cloud governance model,  novel cloud services,  operational efficiencies,  cloud center of excellence","Word Processors, Spreadsheets, Presentation Tools",none,https://www.udacity.com/course/cloud-computing-for-business-leaders-nanodegree--nd046
73,Security Architect,nanodegree,The goal of the Security Architect Nanodegree is to equip learners with the necessary skills to implement elements of security infrastructure design and management at an enterprise level.,intermediate,4 Months,2.04,715.0,"Threat Modeling,  DiD Framework,  Cybersecurity Risk Management,  Incident Response Playbooks,  Network Security Fundamentals,  Architecture Diagramming,  Access Control Matrices",Linux and AWS,none,https://www.udacity.com/course/security-architect-nanodegree--nd992
74,Enterprise Security,nanodegree,"This program addresses security topics related to corporate environments, which are often distinct from production environments and center around the devices, identities, and infrastructure used by personnel on a daily basis.",intermediate,4 Months,3.12,715.0,"Device Hardening Strategy,  Cybersecurity Policy Writing,  Zero Trust Security Model,  Data Encryption,  Backup Strategy,  API Security,  Cloud Hardening Strategy,  Container Vulnerability Management,  IT Asset Management,  Secure Network Architecture Design,  Cybersecurity Compliance",Linux and Azure,none,https://www.udacity.com/course/enterprise-security-nanodegree--nd0035
75,AI Engineer using Microsoft Azure,nanodegree,"Master the skills necessary to implement machine learning models, build end-to-end AI solutions, and manage continuous improvement of an Azure AI solution.",advanced,3 Months,4.35,715.0,"Object Detection,  Image Classification,  Form Recognition,  Facial Recognition,  Face Detection,  Azure Cognitive Services,  Microsoft Bot Framework,  Azure Conversational AI Agents,  Architecture Diagramming,  Requirements Gathering,  Intent Recognition,  Key Phrase Extraction,  Azure Form Recognizer,  Bounding Boxes","Python, Microsoft Azure, JSON and REST programming semantics",Microsoft,https://www.udacity.com/course/ai-engineer-using-microsoft-azure--nd073
76,Programming for Data Science with R,nanodegree,"Prepare for a data science career by learning the fundamental data programming tools: R, SQL, command line, and git.",beginner,3 Months,4.8,95.0,"R, SQL, Git",not specified,Mode,https://www.udacity.com/course/programming-for-data-science-nanodegree-with-R--nd118
77,Zero Trust Security,course,Learners leave the course with a reinvigorated perspective on cybersecurity and a lexicon of practices and solutions that support what is rapidly becoming the new dominant strategy in enterprise security.,intermediate,1 Month,4.77,715.0,"Zero Trust Pillars,  Zero Trust Security Model,  Zero Trust Deployment Strategy,  Zero Trust Maturity Model,  Zero Trust Algorithms,  Cybersecurity Risk Management,  Perimeter Security",Familiarity with basic cybersecurity concepts and practices,none,https://www.udacity.com/course/zero-trust-security--cd11535
78,Cybersecurity for Business Leaders,nanodegree,Learn to leverage the capabilities of cybersecurity best practices to protect your organization and unlock next-level results.,beginner,1 Month,2.5,715.0,"Basic Cybersecurity Implementation,  Threat Actors,  Security Devices,  Vulnerability Assessment,  Security Risk Classification,  Cybersecurity Fluency,  Cybersecurity Risk Management,  Cybersecurity Training Strategies,  Social Engineering,  Phishing,  Cybersecurity incident response playbooks,  Cybersecurity Regulations and Standards",No prior experience is required,none,https://www.udacity.com/course/cybersecurity-for-business-leaders--nd1202
79,Ethical AI,course,"Learn to apply ethical AI to minimize bias, while maximizing fairness and explainability, ensuring an ethical future for all.",intermediate,1 Month,2.99,715.0,"AI Fairness,  AI Governance,  AI Transparency,  Model Bias Analysis,  Model Bias Mitigation,  Explainable AI,  Ethical AI",AI & machine learning fundamentals,none,https://www.udacity.com/course/ethical-ai--cd1827
80,AWS Machine Learning Foundations Course,free,Learn what machine learning is and the steps involved in building and evaluating models. Gain in demand skills needed at businesses working to solve challenges with AI.,intermediate,2 Months,2.88,715.0,"Computer vision,  Reinforcement learning,  Generative AI,  Machine Learning,  Object-oriented programming",not specified,none,https://www.udacity.com/course/aws-machine-learning-foundations--ud065
81,Introduction to Machine Learning using Microsoft Azure,free,"Gain a high-level introduction to the field of machine learning and prepare to use Azure Machine Learning Studio to train machine learning models. Plus, learn how to perform a variety of tasks on Azure Machine Learning labs — from data import, transformation and management to training, validating and evaluating models.",intermediate,2 Months,3.97,715.0,"Machine Learning,  Azure,  Model Training,  Supervised & Unsupervised Learning,  Responsible AI",not specified,Microsoft Azure,https://www.udacity.com/course/introduction-to-machine-learning-using-microsoft-azure--ud00333
82,AI Fundamentals,free,"AI Fundamentals is an entry point into the world of AI using Microsoft's cloud-based solutions, such as Azure Machine Learning and Azure Cognitive Services.",beginner,1 Month,4.64,715.0,"Artificial Intelligence,  Machine Learning,  Azure,  Computer Vision,  Azure Cognitive Services,  Natural Language Processing,  Conversational AI",not specified,Microsoft Azure,https://www.udacity.com/course/ai-fundamentals--ud099
83,Linear Algebra Refresher Course,free,Learn linear algebra by doing: you will code your own library of linear algebra functions!,intermediate,4 Months,4.08,715.0,"Algebra, Python, Vectors, Intersections",not specified,none,https://www.udacity.com/course/linear-algebra-refresher-course--ud953
84,Machine Learning: Unsupervised Learning,free,Ever wonder how Netflix can predict what movies you'll like? Or how Amazon knows what you want to buy before you do? The answer can be found in Unsupervised Learning!,intermediate,1 Month,2.67,715.0,"Randomized Optimization, Clustering, Feature Selection, Feature Transformation, Information Theory",not specified,Georgia Institute of Technology,https://www.udacity.com/course/machine-learning-unsupervised-learning--ud741
85,Big Data Analytics in Healthcare,free,"In this course, we introduce the characteristics of medical data and associated data mining challenges on dealing with such data. We cover various algorithms and systems.",intermediate,2 Months,2.53,715.0,"Data Analytics, Health Care Applications, Algorithms",not specified,Georgia Institute of Technology,https://www.udacity.com/course/big-data-analytics-in-healthcare--ud758
86,Intel® Edge AI Fundamentals with OpenVINO™,free,Stay at the cutting-edge of AI technology by gaining practical skills for deploying edge AI. Learn how to use the Intel Distribution of OpenVINO toolkit to deploy computer vision capabilities inside a range of edge applications.,intermediate,1 Month,2.23,715.0,"Edge AI, Intel OpenVINO, Computer Vision, Deep Learning",not specified,none,https://www.udacity.com/course/intel-edge-AI-fundamentals-with-openvino--ud132
87,Artificial Intelligence,free,"This course gives a survey of topics in AI along with in-depth foundational concepts such as classical search, probability, machine learning, logic and planning.",intermediate,4 Months,4.83,715.0,"Artificial Intelligence, Probability, Bayesian Networks, Logic and Planning, Machine Learning",not specified,Georgia Institute of Technology,https://www.udacity.com/course/artificial-intelligence--ud954
88,Secure and Private AI,free,Learn how to extend PyTorch with the tools necessary to train AI models that preserve user privacy.,advanced,2 Months,4.6,715.0,"Artificial Intelligence, Probability, Bayesian Networks, Logic and Planning, Machine Learning",not specified,Facebook AI,https://www.udacity.com/course/secure-and-private-ai--ud185
89,Model Building and Validation,free,This course will teach you how to start from scratch in understanding and paying attention to what is important in the data and how to answer questions about data.,advanced,8 Weeks,2.7,715.0,"Questioning, Modeling, Validation, Data Analysis, QMV Process",not specified,AT&T,https://www.udacity.com/course/model-building-and-validation--ud919
90,Data Visualization and D3.js,free,Learn the fundamentals of data visualization and apply design and narrative concepts to create your own visualization.,intermediate,7 Weeks,4.87,715.0,"d3.js, Design of Visualizations, Data Visualization, Visual Encodings",not specified,Zipfian,https://www.udacity.com/course/data-visualization-and-d3js--ud507
91,Machine Learning for Trading,free,Implement machine learning based strategies to make trading decisions using real-world data.,intermediate,4 Months,4.91,715.0,"Pandas, Time Series Analysis, Computational Investing, Algorithmic Trading, Reinforcement Learning for Trading",not specified,Georgia Institute of Technology,https://www.udacity.com/course/machine-learning-for-trading--ud501
92,Machine Learning,free,"In this course, you'll learn how to apply Supervised, Unsupervised and Reinforcement Learning techniques for solving a range of data science problems.",intermediate,4 Months,2.21,715.0,"Supervised Learning, Unsupervised Learning, Information Theory, Reinforcement Learning, Game Theory",not specified,Georgia Institute of Technology,https://www.udacity.com/course/machine-learning--ud262
93,Intro to Hadoop and MapReduce,free,"In this short course, learn the fundamentals of MapReduce and Apache Hadoop to start making sense of Big Data in the real world!",intermediate,1 Month,4.06,715.0,"Big Data, Hadoop, MapReduce",not specified,Cloudera,https://www.udacity.com/course/intro-to-hadoop-and-mapreduce--ud617
94,Real-Time Analytics with Apache Storm,free,"The world is trending in real time! Learn Apache Storm, taught by Twitter, to scalably analyze real-time tweets and drive d3 visualizations. Storm is free, open and fun!",intermediate,2 Weeks,4.21,715.0,"Data Analysis, Real-time Analytics, Apache Storm",not specified,Twitter,https://www.udacity.com/course/real-time-analytics-with-apache-storm--ud381
95,A/B Testing,free,"This course will cover the design and analysis of A/B tests, also known as split tests, which are online experiments used to test potential improvements to a website or mobile application. ",intermediate,1 Month,2.06,715.0,"A/B tests,  Results Analysis,  Statistical Significance ",not specified,Google,https://www.udacity.com/course/ab-testing--ud257
96,Data Analysis with R,free,Data is everywhere and so much of it is unexplored. Learn how to investigate and summarize data sets using R and eventually create your own analysis.,intermediate,2 Months,2.03,715.0,"R, Exploratory Data Analysis, Data Visualization",not specified,Facebook,https://www.udacity.com/course/data-analysis-with-r--ud651
97,Knowledge-Based AI: Cognitive Systems,free,The twin goals of knowledge-based artificial intelligence (AI) are to build AI agents capable of human-level intelligence and gain insights into human cognition.,advanced,7 Weeks,2.23,715.0,"Semantic Networks, Common-Sense Reasoning, Logic & Planning, Analogical Reasoning, Visuospatial Reasoning",not specified,Georgia Institute of Technology,https://www.udacity.com/course/knowledge-based-ai-cognitive-systems--ud409
98,Introduction to TensorFlow Lite,free,Learn how to deploy deep learning models on mobile and embedded devices with TensorFlow Lite.,intermediate,2 Months,2.34,715.0,"TensorFlow Lite, Deep Learning Models, Android, iOS, Linux",not specified,TensorFlow Lite,https://www.udacity.com/course/intro-to-tensorflow-lite--ud190
99,Introduction to Computer Vision,free,"This course provides an introduction to computer vision including fundamentals, methods for application and machine learning classification.",intermediate,4 Months,3.61,715.0,"Image Processing, Stereo Geometry, Feature Detection & Matching, Object Tracking, Classification & Recognition",not specified,Georgia Institute of Technology,https://www.udacity.com/course/introduction-to-computer-vision--ud810
100,Intro to TensorFlow for Deep Learning,free,"Developed by Google and Udacity, this course teaches a practical approach to deep learning for software developers.",intermediate,2 Months,4.15,715.0,"Image Processing, Stereo Geometry, Feature Detection & Matching, Object Tracking, Classification & Recognition",not specified,TensorFlow,https://www.udacity.com/course/intro-to-tensorflow-for-deep-learning--ud187
101,Eigenvectors and Eigenvalues,free,Learn how to calculate eigenvalues and eigenvectors and why they are important for AI applications.,beginner,1 Week,3.08,715.0,"Linear Algebra, Eigenvectors, Eigenvalues",not specified,none,https://www.udacity.com/course/eigenvectors-and-eigenvalues--ud104
102,Intro to Artificial Intelligence,free,"This course will introduce you to the basics of AI. Topics include machine learning, probabilistic reasoning, robotics, computer vision, and natural language processing.",intermediate,4 Months,3.03,715.0,"Artificial Intelligence, Machine Learning, Probability, Logic and Planning, Markov models",not specified,none,https://www.udacity.com/course/intro-to-artificial-intelligence--cs271
103,Artificial Intelligence for Robotics,free,"Learn how to program all the major systems of a robotic car. Topics include planning, search, localization, tracking, and control.",advanced,2 Months,3.01,715.0,"Probabilistic Models, Kalman Filters, Motion Planning, Robot Control, Simultaneous Localization & Mapping",not specified,Georgia Institute of Technology,https://www.udacity.com/course/artificial-intelligence-for-robotics--cs373
104,Intro to Deep Learning with PyTorch,free,Learn the basics of deep learning and implement your own deep neural networks with PyTorch,intermediate,2 Months,4.28,715.0,"Deep Learning, PyTorch, Neural Networks, CNNs, LSTMs, Style Transfer",not specified,Facebook AI,https://www.udacity.com/course/deep-learning-pytorch--ud188
105,AWS DeepRacer,free,Learn the fundamentals of machine learning and reinforcement learning in a fun and engaging way through autonomous driving with AWS DeepRacer.,intermediate,2 Weeks,2.88,715.0,"Machine Learning, Reinforcement Learning, AWS DeepRacer",not specified,AWS DeepRacer,https://www.udacity.com/course/aws-deepracer--ud014
106,Reinforcement Learning,free,Learn how to engage with machine learning from a theoretical perspective. Explore automated decision-making and dive into advanced algorithms. ,advanced,4 Months,3.03,715.0,"Reinforcement Learning,  Temporal Difference,  Game Theory,  Partially Observable Markov Decision Processes (POMDP),  Machine Learning",not specified,Georgia Institute of Technology,https://www.udacity.com/course/reinforcement-learning--ud600
107,Introduction to Machine Learning Course,free,"This class will teach you the end-to-end process of investigating data through a machine learning lens. Learn online, with Udacity.",intermediate,10 Weeks,3.06,715.0,"Machine Learning, Supervised Learning, Unsupervised Learning, Evaluation Metrics, Data Manipulation",not specified,none,https://www.udacity.com/course/intro-to-machine-learning--ud120
108,Microsoft Power Platform,free,"Learn to build powerful and effective solutions with ease with Microsoft Power Platform. Created in partnership with the Microsoft Power Platform team, this course will introduce you to efficient low-code solutions for data analytics, app development, and artifical intelligence.",beginner,1 Month,3.8,715.0,"Microsoft Power Platform, Power Apps, Power Automate, Azure AI Builder",not specified,Microsoft,https://www.udacity.com/course/microsoft-power-platform--ud091
109,Web Tooling & Automation,free,"In this course, you’ll learn how to setup your development environment and save a lot of time and effort with automatic optimization.",intermediate,3 Weeks,3.89,715.0,"Installing Sublime Text, Installing Plugins, Gulp, Live Editing, ESLint",not specified,Google,https://www.udacity.com/course/web-tooling-automation--ud892
110,Front End Frameworks,free,"Explore and build interactive, single-page applications with popular JavaScript frameworks!",advanced,8 Weeks,4.26,715.0,"Single Page Applications, Building Angular apps, Building Ember apps, Underscore's template function, Backbone events and routing",not specified,Google,https://www.udacity.com/course/front-end-frameworks--ud894
111,Responsive Web Design Fundamentals,free,Learn and practice strategies for developing websites that look great on every device! Made with Google's Pete LePage.,intermediate,2 Weeks,4.7,715.0,"Responsive design patterns, Remote debugging and emulation, Optimizing layout, CSS media queries, CSS flexbox",not specified,Google,https://www.udacity.com/course/responsive-web-design-fundamentals--ud893
112,How to Install Android Studio,free,Participate in this short tutorial to install Android Studio on your computer and set up a new project using the program's Project Wizard.,beginner,1 Day,2.33,715.0,"Android, Android Studio, Java",not specified,none,https://www.udacity.com/course/how-to-install-android-studio--ud808
113,Website Performance Optimization,free,"Learn how browsers convert HTML, CSS and JavaScript into websites while you experiment with Chrome Developer Tools to measure and optimize website speed!",intermediate,1 Week,3.07,715.0,"Chrome Developer Tools, DOM and CSSOM, Critical Rendering Path HTML, CSS and JavaScript optimizations",not specified,Google,https://www.udacity.com/course/website-performance-optimization--ud884
114,iOS Networking with Swift,free,Learn how to incorporate networking into your apps to access data from around the world. Build the On the Map app to share location and fun links with fellow students.,advanced,3 Months,4.28,715.0,"Networking, URLSession, JSON Parsing",not specified,none,https://www.udacity.com/course/ios-networking-with-swift--ud421
115,JavaScript Design Patterns,free,Learn the importance of code organization and how to implement it with either vanilla JavaScript or an organizational library or framework.,advanced,6 Weeks,2.12,715.0,"Separating concerns, Code organization, Using an Organizational Library, KnockoutJS",not specified,none,https://www.udacity.com/course/javascript-design-patterns--ud989
116,Android Performance,free,"Performance matters to users, so it must matter to you. Learn how to identify and fix bottlenecks in your Android applications, and ensure a smooth user experience.",advanced,4 Weeks,2.63,715.0,"Android Development, Performance, Optimization",not specified,Google,https://www.udacity.com/course/android-performance--ud825
117,Responsive Images,free,Go beyond image tags! Learn how to make images a part of your responsive design workflow.,intermediate,2 Weeks,3.73,715.0,"Responsive Images, Mobile Image debugging, Creating responsive graphics",not specified,Google,https://www.udacity.com/course/responsive-images--ud882
118,Xcode Debugging,free,"In this course, you'll learn standard methodologies for debugging software, and how to use Xcode's debugging tools to find and squash bugs.",advanced,3 Weeks,2.47,715.0,"Debugging, LLDB",not specified,none,https://www.udacity.com/course/xcode-debugging--ud774
119,Build Native Mobile Apps with Flutter,free,Learn from experts at Google how to use Flutter to craft high-quality native interfaces on iOS and Android devices in record time.,intermediate,2 Weeks,2.4,715.0,Android Development,not specified,Google,https://www.udacity.com/course/build-native-mobile-apps-with-flutter--ud905
120,JavaScript Promises,free,Learn how to simplify asynchronous work with Native JavaScript Promises!,advanced,3 Weeks,3.44,715.0,"Native JavaScript Promises, Asynchronous code, Advanced error handling, Generating sequences of async work",not specified,Google,https://www.udacity.com/course/javascript-promises--ud898
121,UIKit Fundamentals,free,"Learn the iOS UIKit framework, which is the cornerstone of creating user interfaces in all iOS apps and crucial for any iOS Developer to be intimately familiar with.",intermediate,2 Months,2.11,715.0,"AutoLayout, Navigation, Table Views, Collection Views",not specified,none,https://www.udacity.com/course/uikit-fundamentals--ud788
122,Client-Server Communication,free,"Learn how a client communicates with a server, including HTTP's request and response cycle, HTTP/2 and HTTPs.",advanced,5 Weeks,2.77,715.0,"HTTP request and response cycle, HTTP headers and verbs, HTTP/1 and HTTP/2 capabilities, HTTPS, Client-Server Communication",not specified,Google,https://www.udacity.com/course/client-server-communication--ud897
123,What is Programming?,free,This course is your first step towards a career in programming.,beginner,1 Day,2.78,715.0,"HTTP request and response cycle, HTTP headers and verbs, HTTP/1 and HTTP/2 capabilities, HTTPS, Client-Server Communication",not specified,none,https://www.udacity.com/course/what-is-programming--ud994
124,Building High Conversion Web Forms,free,"Increase conversions with best practices for fast, efficient forms! Learn how to design and build web forms for users on any device.",intermediate,2 Weeks,2.29,715.0,"Research HTML5 input types, Datalist input, User input validation with HTML5 attributes, Validate user input using JavaScript, Optimizing forms",not specified,Google,https://www.udacity.com/course/building-high-conversion-web-forms--ud890
125,Software Architecture & Design,free,Software Architecture and Design teaches the principles and concepts involved in the analysis and design of large software systems.,intermediate,2 Months,4.03,715.0,"Unified Modeling Language, Object Constraint Language, Software Architecture, Software Design, Code Review",not specified,Georgia Institute of Technology,https://www.udacity.com/course/software-architecture-design--ud821
126,Intro to Information Security,free,No description available,intermediate,Not available,2.88,715.0,"Software Security, Cryptography, Network Security, Privacy, Public Policy",not specified,Georgia Institute of Technology,https://www.udacity.com/course/intro-to-information-security--ud459
127,Authentication & Authorization: OAuth,free,Learn to implement the OAuth 2.0 framework to allow users to securely and easily login to your web applications.,intermediate,2 Weeks,4.65,715.0,"Flask, OAuth 2.0, Authentication & Authorization, Python",not specified,none,https://www.udacity.com/course/authentication-authorization-oauth--ud330
128,Intro to iOS App Development with Swift,free,Take the first step in becoming an iOS Developer by learning about Swift and writing your first app.,intermediate,1 Month,3.86,715.0,"Swift, UIKit, AVFoundation",not specified,none,https://www.udacity.com/course/intro-to-ios-app-development-with-swift--ud585
129,Introduction to Operating Systems,free,"Introduction to Operating Systems teaches the basic operating system abstractions, mechanisms, and their implementations.",intermediate,2 Months,3.06,715.0,"Processes & Threads, Memory Management, Inter-Process Communication, Resource Virtualization, Distributed File Systems",not specified,Georgia Institute of Technology,https://www.udacity.com/course/introduction-to-operating-systems--ud923
130,Web Accessibility,free,"Get hands-on experience making web applications accessible. You’ll understand when and why users need accessibility, then you’ll dive into how to implement.",advanced,2 Weeks,2.77,715.0,"Accessibility, Screen Readers, Focus, Semantics, ARIA",not specified,Google,https://www.udacity.com/course/web-accessibility--ud891
131,Android Basics: Data Storage,free,"In this course, you'll learn the basics of data storage in Android, building your first database and an app that could be used for any small business!",beginner,8 Weeks,2.51,715.0,"Android Development, SQLite, ContentProvider, CursorAdapter & CursorLoader, Database, Design",not specified,Google,https://www.udacity.com/course/android-basics-data-storage--ud845
132,Scalable Microservices with Kubernetes,free,"This course is designed to teach you about managing microservices, using Kubernetes. This course is built in partnership with experts such as Google’s Kelsey Hightower.",intermediate,1 Month,3.52,715.0,"Microservices, Docker, Kubernetes, Deploying Microservices",not specified,Google,https://www.udacity.com/course/scalable-microservices-with-kubernetes--ud615
133,Developing Android Apps with Kotlin,free,Learn the fundamentals of the Kotlin programming language from Kotlin experts at Google.,intermediate,2 Months,2.91,715.0,Android Development,not specified,Google,https://www.udacity.com/course/developing-android-apps-with-kotlin--ud9012
134,Browser Rendering Optimization,free,This course will demystify the browser's rendering pipeline and make it easy for you to build high performance web apps.,advanced,1 Month,3.01,715.0,"Browser Rendering Response, Animation, Idle and Load (RAIL), Optimizing JavaScript, How to debug an app",not specified,Google,https://www.udacity.com/course/browser-rendering-optimization--ud860
135,Learn Swift Programming Syntax,free,"This course focuses on the syntax of the Swift programming language. By the end of the course, you'll be able to apply Swift essentials to building iOS apps.",intermediate,3 Weeks,3.56,715.0,"Variables and Constants, Control Flow, Functions, Optionals, OOP",not specified,none,https://www.udacity.com/course/learn-swift-programming-syntax--ud902
136,Offline Web Applications,free,Learn how to develop offline-first web application using Service Workers and IndexedDB.,intermediate,3 Weeks,2.83,715.0,"Developing offline-first applications, Understanding Lie-Fi, Service Worker DevTools, IndexedDB, IndexedDB asset caching",not specified,Google,https://www.udacity.com/course/offline-web-applications--ud899
137,Kotlin for Android Developers,free,"Take an Android app in Java and convert it to Kotlin, learning key features of the Kotlin programming language along the way.",advanced,1 Week,4.04,715.0,"Kotlin, Android",not specified,none,https://www.udacity.com/course/kotlin-for-android-developers--ud888
138,UX Design for Mobile Developers,free,This is a design course made for developers. You'll learn UX design skills which will help you make 5-star mobile apps that your users will love.,beginner,6 Weeks,4.07,715.0,"Android, UX Design, User-Centered Design",not specified,Google,https://www.udacity.com/course/ux-design-for-mobile-developers--ud849
139,Software Development Process,free,"Software Development Processes explores requirements engineering, architecture and design, testing, and software quality in general.",intermediate,3 Months,3.25,715.0,"Software Development Life Cycle, Requirements Engineering, Design Patterns, Black-Box & White-Box Testing, Agile Development Methodology",not specified,Georgia Institute of Technology,https://www.udacity.com/course/software-development-process--ud805
140,Data Visualization in Tableau,free,Learn the fundamentals of data visualization and practice communicating with data.,beginner,3 Weeks,2.02,715.0,"Tableau, Design of Visualizations, Visual Encodings",not specified,none,https://www.udacity.com/course/data-visualization-in-tableau--ud1006
141,Intro to Progressive Web Apps,free,In this course you’ll get started working on your very first Progressive Web App (PWA) - a web app that can take advantage of many features native applications have enjoyed!,intermediate,2 Weeks,2.48,715.0,"Progressive Web Apps, Service Workers, Web App Manifest, Offline apps",not specified,Google,https://www.udacity.com/course/intro-to-progressive-web-apps--ud811
142,Writing READMEs,free,Documentation is an important part of the development process. Learn to write READMEs using Markdown so your code can be used by other humans!,beginner,3 Days,2.79,715.0,"README, Markdown, Making code easier to read",not specified,none,https://www.udacity.com/course/writing-readmes--ud777
143,Software Analysis & Testing,free,"This course covers the theory and practice of software analysis, which is at the heart of software development processes such as diagnosing bugs, testing, and debugging.",intermediate,16 Weeks,2.35,715.0,"Software Testing, Debugging, Dataflow Analysis, Constraint-based Analysis, Symbolic Execution",not specified,Georgia Institute of Technology,https://www.udacity.com/course/software-analysis-testing--ud333
144,iOS Persistence and Core Data,free,"Persisting data is a core skill for any iOS developer. Learn how to store app data to your device using three common techniques: NSUserDefaults, Sandbox, and Core Data.",advanced,2 Months,2.04,715.0,"Data Persistence, Core Data, UserDefaults, FileManager",not specified,none,https://www.udacity.com/course/ios-persistence-and-core-data--ud325
145,Computer Networking,free,This is an advanced Computer Networking course that delves into the latest concepts and tools used by the CN industry.,intermediate,3 Months,4.67,715.0,"Software-Defined Networking, Data Center Networking, Content Distribution, Congestion Control, Traffic Shaping",not specified,Georgia Institute of Technology,https://www.udacity.com/course/computer-networking--ud436
146,Firebase Analytics: iOS,free,"Learn how to grow an app's user base using Firebase Analytics, a free and unlimited analytics solution",intermediate,1 Day,3.03,715.0,"Android Development, Firebase Analytics, Firebase Crash Reporting, Firebase Remote Config, Firebase Dynamic Links",not specified,Google,https://www.udacity.com/course/firebase-analytics-ios--ud353
147,Human-Computer Interaction,free,"This course is an introductory course on human-computer interaction, covering the principles, techniques, and open areas of development in HCI.",intermediate,16 Weeks,2.79,715.0,"Design Principles, Direct Manipulation Interfaces, Mental Models, Distributed Cognition, Prototyping",not specified,Georgia Institute of Technology,https://www.udacity.com/course/human-computer-interaction--ud400
148,2D Game Development with libGDX,free,"This course explores how to use LibGDX to build 2D games that run anywhere, from web browsers to mobile devices. At the end you will create a full game, called Icicles.",intermediate,8 Weeks,4.61,715.0,"LibGDX, Game Development, 2D",not specified,Amazon Appstore for Android,https://www.udacity.com/course/2d-game-development-with-libgdx--ud405
149,Intro to jQuery,free,Learn how to access and modify the DOM with ease using jQuery!,intermediate,2 Days,3.04,715.0,"jQuery, DOM Structure, Reading jQuery documentation, Modify HTML attributes and content",not specified,none,https://www.udacity.com/course/intro-to-jquery--ud245
150,Cyber-Physical Systems Security,free,This course provides an introduction to security issues relating to cyber-physical systems including industrial control systems and critical infrastructures.,intermediate,16 Weeks,3.72,715.0,"Industrial Networks, Industrial Control Systems, Smart Grid Infrastructure, Cyber Security, Privacy",not specified,Georgia Institute of Technology,https://www.udacity.com/course/cyber-physical-systems-security--ud279
151,How to create <anything> in Android,free,Learn to implement the newest Android user interface components while building apps in Android Studio.,beginner,4 Weeks,2.35,715.0,"Android, UI, App Development",not specified,none,https://www.udacity.com/course/how-to-create-anything-in-android--ud802
152,Introduction to Graduate Algorithms,free,Learn advanced techniques for designing algorithms and apply them to hard computational problems.,advanced,3 Months,3.65,715.0,"Android, UI, App Development",not specified,Georgia Institute of Technology,https://www.udacity.com/course/introduction-to-graduate-algorithms--ud401
153,Dynamic Web Applications with Sinatra,free,"Sinatra is a micro-framework for quickly developing small Ruby applications for the web. In this course, you'll learn all about Sinatra, routing, and templating.",intermediate,2 Weeks,2.86,715.0,"Ruby, Sinatra, Building web applications",not specified,none,https://www.udacity.com/course/dynamic-web-applications-with-sinatra--ud268
154,How to Make a Platformer Using libGDX,free,"This course will explore how to create a game called Giga Gal. Giga Gal is a platformer in which you run, collect energy packs, jump a bunch, and shoot enemies.",intermediate,8 Weeks,4.24,715.0,"LibGDX, Game Development, Asset management",not specified,Amazon Appstore for Android,https://www.udacity.com/course/how-to-make-a-platformer-using-libgdx--ud406
155,JavaScript Testing,free,Learn how to iterate on your web applications with confidence using the red-green-refactor workflow cycle and automated testing frameworks.,intermediate,2 Weeks,2.56,715.0,"Javascript Apps, Jasmine testing framework, red-green-refactor workflow",not specified,none,https://www.udacity.com/course/javascript-testing--ud549
156,Object-Oriented JavaScript,free,No description available,intermediate,3 Weeks,4.91,715.0,"Object Oriented Javascript, Object-oriented programming, Data and functionality, Prototypal inheritance",not specified,none,https://www.udacity.com/course/object-oriented-javascript--ud711
157,Localization Essentials,free,"Localization is about making a product feel tailored to users around the world. Specifically, it is the process of adapting a product to a language, culture and market.",beginner,2 Weeks,2.94,715.0,"Localization, Google Translator Toolkit, Localization at Google",not specified,Google,https://www.udacity.com/course/localization-essentials--ud610
158,Compilers: Theory and Practice,free,This course teaches the theory and practice behind building compilers for higher level programming languages.,intermediate,Not available,3.23,715.0,"Compilers, Semantic Analysis, Syntax Directed Translation, Control Flow Analysis",not specified,Georgia Institute of Technology,https://www.udacity.com/course/compilers-theory-and-practice--ud168
159,HTML5 Canvas,free,Learn how you can use HTML5 Canvas to create and modify images or even interactive animations.,beginner,2 Weeks,3.22,715.0,"HTML5 Canvas, Canvas2D, Creating animation",not specified,none,https://www.udacity.com/course/html5-canvas--ud292
160,Object Oriented Programming in Java,free,Learn how to apply powerful object-oriented programming concepts in Java,intermediate,4 Weeks,2.56,715.0,"Object-Oriented Programming, Java, User Interaction",not specified,none,https://www.udacity.com/course/object-oriented-programming-in-java--ud283
